id;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jenis_bencana;jumlah_kejadian;satuan;tahun
196;JAWA BARAT;3277;KOTA CIMAHI;NGIN PUTING BELIUNG;2;KEJADIAN;2022
197;JAWA BARAT;3277;KOTA CIMAHI;KEKERINGAN;0;KEJADIAN;2022
198;JAWA BARAT;3277;KOTA CIMAHI;KEBAKARAN HUTAN;0;KEJADIAN;2022
199;JAWA BARAT;3277;KOTA CIMAHI;GEMPA BUMI;0;KEJADIAN;2022
200;JAWA BARAT;3277;KOTA CIMAHI;TSUNAMI;0;KEJADIAN;2022
201;JAWA BARAT;3278;KOTA TASIKMALAYA;BANJIR;1;KEJADIAN;2022
202;JAWA BARAT;3278;KOTA TASIKMALAYA;TANAH LONGSOR;1;KEJADIAN;2022
203;JAWA BARAT;3278;KOTA TASIKMALAYA;ABRASI;0;KEJADIAN;2022
204;JAWA BARAT;3278;KOTA TASIKMALAYA;NGIN PUTING BELIUNG;3;KEJADIAN;2022
205;JAWA BARAT;3278;KOTA TASIKMALAYA;KEKERINGAN;0;KEJADIAN;2022
206;JAWA BARAT;3278;KOTA TASIKMALAYA;KEBAKARAN HUTAN;0;KEJADIAN;2022
207;JAWA BARAT;3278;KOTA TASIKMALAYA;GEMPA BUMI;0;KEJADIAN;2022
208;JAWA BARAT;3278;KOTA TASIKMALAYA;TSUNAMI;0;KEJADIAN;2022
209;JAWA BARAT;3279;KOTA BANJAR;BANJIR;0;KEJADIAN;2022
210;JAWA BARAT;3279;KOTA BANJAR;TANAH LONGSOR;0;KEJADIAN;2022
211;JAWA BARAT;3279;KOTA BANJAR;ABRASI;0;KEJADIAN;2022
212;JAWA BARAT;3279;KOTA BANJAR;NGIN PUTING BELIUNG;3;KEJADIAN;2022
213;JAWA BARAT;3279;KOTA BANJAR;KEKERINGAN;0;KEJADIAN;2022
214;JAWA BARAT;3279;KOTA BANJAR;KEBAKARAN HUTAN;0;KEJADIAN;2022
215;JAWA BARAT;3279;KOTA BANJAR;GEMPA BUMI;0;KEJADIAN;2022
216;JAWA BARAT;3279;KOTA BANJAR;TSUNAMI;0;KEJADIAN;2022
